customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,ChargesDaily
0023-UYUPN,No,Female,1,1,0,50,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.2,1.0,0.84
0023-XUOPT,Yes,Female,0,1,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Electronic check,94.1,0.0,3.14
0027-KWYKW,No,Female,0,1,1,23,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.75,0.0,2.79
0030-FNXPP,No,Female,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,0.0,0.66
0031-PVLZI,Yes,Female,0,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,0.0,0.68
0032-PGELS,Yes,Female,0,1,1,1,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),30.5,0.0,1.02
0036-IHMOT,No,Female,0,1,1,55,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),103.7,0.0,3.46
0040-HALCW,No,Male,0,1,1,54,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,0.0,0.68
0042-JVWOJ,No,Male,0,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,0.0,0.65
0042-RLHYP,No,Female,0,1,1,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,0.0,0.66
0047-ZHDTW,,Female,0,0,0,11,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),79.0,0.0,2.63
0048-LUMLS,No,Male,0,1,1,37,1,No,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Credit card (automatic),91.2,0.0,3.04
0048-PIHNL,No,Female,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,0.0,0.68
0052-DCKON,No,Male,0,1,0,66,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),115.8,0.0,3.86
0052-YNYOT,No,Female,0,0,0,67,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,0.0,0.68
0056-EPFBG,No,Male,0,1,1,20,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),39.4,0.0,1.31
0057-QBUQH,No,Female,0,0,1,43,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,25.1,0.0,0.84
0058-EVZWM,No,Female,0,1,0,55,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.8,0.0,2.99
0060-FUALY,No,Female,0,1,0,59,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,94.75,0.0,3.16
0064-SUDOG,No,Female,0,1,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,0.0,0.68
0064-YIJGF,No,Male,0,1,1,27,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.75,0.0,2.52
0067-DKWBL,Yes,Male,1,0,0,2,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.25,1.0,1.64
0068-FIGTF,No,Female,0,0,0,27,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,0,Mailed check,78.2,0.0,2.61
0071-NDAFP,No,Male,0,1,1,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,0.0,0.85
0074-HDKDG,No,Male,0,1,1,25,1,No,DSL,Yes,Yes,Yes,No,No,No,One year,1,Bank transfer (automatic),61.6,0.0,2.05
0076-LVEPS,No,Male,0,0,1,29,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,1,Mailed check,45.0,0.0,1.5
0078-XZMHT,No,Male,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.15,0.0,2.84
0080-EMYVY,No,Female,0,0,0,14,1,No,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),51.45,0.0,1.72
0080-OROZO,No,Female,0,0,0,35,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,99.25,0.0,3.31
0082-LDZUE,No,Male,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.3,0.0,1.48
0082-OQIQY,No,Male,0,0,0,29,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.2,0.0,3.14
0083-PIVIK,No,Male,0,0,0,64,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,0,Electronic check,81.25,0.0,2.71
0089-IIQKO,No,Female,0,1,1,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),99.95,0.0,3.33
0093-EXYQL,No,Female,1,0,0,40,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.55,1.0,3.05
0093-XWZFY,Yes,Male,0,0,0,40,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),104.5,0.0,3.48
0094-OIFMO,Yes,Female,1,0,0,11,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.0,1.0,3.17
0096-BXERS,No,Female,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,50.35,0.0,1.68
0096-FCPUF,No,Male,0,0,0,30,1,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,64.5,0.0,2.15
0098-BOWSO,No,Male,0,0,0,27,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,0.0,0.65
0100-DUVFC,No,Male,1,1,0,70,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,104.8,1.0,3.49
0103-CSITQ,No,Female,0,1,0,57,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),109.4,0.0,3.65
0104-PPXDV,No,Male,0,1,0,58,1,No,DSL,No,No,Yes,No,No,No,One year,0,Credit card (automatic),50.3,0.0,1.68
0106-GHRQR,No,Male,0,0,0,16,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),71.4,0.0,2.38
0106-UGRDO,No,Female,0,1,0,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,116.0,0.0,3.87
0107-WESLM,Yes,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,0.0,0.66
0107-YHINA,Yes,Male,0,0,1,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.75,0.0,3.32
0111-KLBQG,No,Male,1,1,1,32,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed check,93.95,1.0,3.13
0112-QAWRZ,No,Male,0,1,1,16,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),90.8,0.0,3.03
0112-QWPNC,Yes,Male,0,1,0,49,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,84.35,0.0,2.81
0114-IGABW,No,Female,0,1,0,71,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),58.25,0.0,1.94
0114-PEGZZ,No,Female,0,0,0,33,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,107.55,0.0,3.58
0114-RSRRW,No,Female,0,1,0,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,0.0,0.66
0115-TFERT,Yes,Male,0,1,0,21,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,111.2,0.0,3.71
0117-LFRMW,Yes,Male,0,1,1,37,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),40.2,0.0,1.34
0118-JPNOY,No,Female,1,0,0,26,1,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),85.8,1.0,2.86
0120-YZLQA,,Male,0,0,0,71,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.9,0.0,0.66
0121-SNYRK,No,Male,0,0,0,50,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,35.4,0.0,1.18
0122-OAHPZ,Yes,Female,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.85,0.0,2.46
0123-CRBRT,No,Female,0,1,1,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,88.1,0.0,2.94
0125-LZQXK,Yes,Male,0,0,0,15,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.35,0.0,3.38
0128-MKWSG,No,Female,0,0,1,26,0,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,45.8,0.0,1.53
0129-KPTWJ,No,Male,0,1,0,72,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.65,0.0,3.16
0129-QMPDR,No,Male,0,1,1,44,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.5,0.0,0.68
0130-SXOUN,No,Male,0,0,0,66,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),89.4,0.0,2.98
0133-BMFZO,Yes,Female,0,0,0,2,1,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,86.25,0.0,2.88
0134-XWXCE,No,Female,1,0,0,44,1,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),74.85,1.0,2.49
0135-NMXAP,Yes,Female,0,0,0,12,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.75,0.0,2.99
0136-IFMYD,No,Male,1,1,0,69,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.95,1.0,3.66
0137-OCGAB,Yes,Female,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,80.2,0.0,2.67
0137-UDEUO,Yes,Female,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,0.0,0.66
0139-IVFJG,No,Female,0,1,0,2,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,90.35,0.0,3.01
0141-YEAYS,No,Female,1,0,0,27,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),86.45,1.0,2.88
0142-GVYSN,No,Male,0,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.3,0.0,0.68
0147-ESWWR,No,Female,1,1,0,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.25,1.0,3.38
0148-DCDOS,Yes,Male,0,0,0,25,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),94.7,0.0,3.16
0151-ONTOV,Yes,Female,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.9,0.0,2.36
0154-QYHJU,,Male,0,0,0,29,1,No,DSL,Yes,Yes,No,Yes,No,No,One year,1,Electronic check,58.75,0.0,1.96
0156-FVPTA,Yes,Male,0,1,0,22,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic check,54.2,0.0,1.81
0162-RZGMZ,,Female,1,0,0,5,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.9,1.0,2.0
0164-APGRB,No,Female,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,114.9,0.0,3.83
0164-XAIRP,No,Female,0,0,0,24,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.55,0.0,0.65
0168-XZKBB,No,Female,0,1,0,19,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,86.85,0.0,2.9
0174-QRVVY,No,Male,0,1,1,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.35,0.0,0.85
0177-PXBAT,No,Male,1,1,0,33,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.9,1.0,3.66
0178-CIIKR,No,Female,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,0.0,0.66
0178-SZBHO,No,Male,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,87.2,0.0,2.91
0181-RITDD,No,Male,0,1,1,62,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,108.15,0.0,3.6
0186-CAERR,No,Male,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),116.3,0.0,3.88
0187-QSXOE,No,Male,1,1,0,7,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.0,1.0,2.97
0187-WZNAB,No,Female,0,1,1,27,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,74.4,0.0,2.48
0188-GWFLE,No,Male,0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,0.0,0.67
0191-EQUUH,No,Female,0,0,1,25,0,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),35.05,0.0,1.17
0191-ZHSKZ,No,Male,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,1.0,2.49
0193-ESZXP,Yes,Female,1,1,0,58,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),105.5,1.0,3.52
0195-IESCP,Yes,Male,0,1,0,10,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.25,0.0,2.84
0196-JTUQI,No,Female,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),75.2,0.0,2.51
0196-VULGZ,Yes,Female,1,1,0,6,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.35,1.0,2.81
0197-PNKNK,No,Female,0,1,1,69,1,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,0,Bank transfer (automatic),84.45,0.0,2.82
0201-MIBOL,No,Female,1,0,0,66,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),102.4,1.0,3.41
0201-OAMXR,Yes,Female,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.55,0.0,3.85
0203-HHYIJ,Yes,Male,0,0,0,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.3,0.0,0.84
0206-OYVOC,No,Female,0,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.25,0.0,0.64
0206-TBWLC,No,Female,0,1,0,54,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,114.65,0.0,3.82
0207-MDKNV,Yes,Female,0,0,0,15,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,105.1,0.0,3.5
0208-BPQEJ,No,Female,0,1,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.4,0.0,0.65
0212-ISBBF,No,Female,0,0,0,22,0,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,50.35,0.0,1.68
0214-JHPFW,No,Female,0,1,0,70,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),57.8,0.0,1.93
0215-BQKGS,No,Male,0,0,0,30,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),84.3,0.0,2.81
0218-QNVAS,No,Male,0,1,1,71,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Bank transfer (automatic),100.55,0.0,3.35
0219-QAERP,No,Male,0,1,0,30,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,0.0,0.66
0219-YTZUE,Yes,Male,0,1,1,4,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),84.8,0.0,2.83
0220-EBGCE,Yes,Male,0,0,0,2,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,85.85,0.0,2.86
0221-NAUXK,No,Male,0,0,1,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.95,0.0,0.66
0221-WMXNQ,No,Male,1,0,0,4,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,75.35,1.0,2.51
0222-CNVPT,No,Male,1,0,0,52,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),48.8,1.0,1.63
0224-HJAPT,Yes,Male,0,0,0,5,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,47.15,0.0,1.57
0224-NIJLP,No,Male,0,1,1,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,0.0,0.67
0224-RLWWD,No,Female,1,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,44.3,1.0,1.48
0225-ZORZP,No,Male,0,0,0,3,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,84.3,0.0,2.81
0228-MAUWC,No,Male,0,0,0,19,1,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,59.55,0.0,1.98
0229-LFJAF,No,Male,0,0,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),69.65,0.0,2.32
0230-UBYPQ,No,Male,1,1,0,63,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,0,Bank transfer (automatic),36.1,1.0,1.2
0230-WEQUW,No,Male,0,1,0,66,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),56.6,0.0,1.89
0231-LXVAP,Yes,Male,0,0,0,1,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,75.9,0.0,2.53
0233-FTHAV,No,Female,0,0,0,60,1,Yes,Fiber optic,No,No,Yes,No,No,No,One year,1,Bank transfer (automatic),79.2,0.0,2.64
0234-TEVTT,No,Female,0,1,1,48,0,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),45.0,0.0,1.5
0235-KGSLC,Yes,Female,0,0,0,1,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),85.55,0.0,2.85
0236-HFWSV,Yes,Male,0,0,0,15,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,93.35,0.0,3.11
0237-YFUTL,No,Female,0,1,0,50,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.65,0.0,3.66
0238-WHBIQ,No,Male,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),89.7,0.0,2.99
0239-OXEXL,No,Female,0,0,0,46,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,84.25,0.0,2.81
0244-LGNFY,No,Female,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),92.65,0.0,3.09
0247-SLUJI,No,Male,0,1,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,0.0,0.66
0248-IPDFW,No,Female,0,0,0,1,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,50.1,0.0,1.67
0248-PGHBZ,No,Female,1,0,0,67,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),92.45,1.0,3.08
0253-ZTEOB,No,Female,0,1,1,48,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,0,Electronic check,79.65,0.0,2.66
0254-FNMCI,No,Female,0,0,0,72,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.9,0.0,3.66
0254-KCJGT,No,Male,0,1,0,52,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),81.4,0.0,2.71
0254-WWRKD,No,Female,0,1,1,67,1,No,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),50.55,0.0,1.68
0256-LTHVJ,Yes,Female,0,1,1,28,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,81.05,0.0,2.7
0257-KXZGU,No,Female,0,1,1,32,1,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),62.45,0.0,2.08
0257-ZESQC,Yes,Female,1,1,0,27,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.2,1.0,2.51
0258-NOKBL,No,Male,0,0,0,3,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,0,Electronic check,90.4,0.0,3.01
0259-GBZSH,Yes,Male,0,0,0,2,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.65,0.0,2.86
0260-ZDLGK,Yes,Female,0,0,1,9,1,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Mailed check,72.9,0.0,2.43
0263-FJTQO,No,Male,0,1,1,50,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,1,Credit card (automatic),70.5,0.0,2.35
0264-CNITK,No,Female,0,1,1,71,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.1,0.0,0.67
0265-EDXBD,Yes,Male,1,1,0,32,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.9,1.0,2.5
0265-PSUAE,No,Female,0,1,1,16,1,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),100.7,0.0,3.36
0266-CLZKZ,No,Female,0,1,1,67,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),105.65,0.0,3.52
